name,rating,reviews,price,category,location,hours,services,actions
Chicago Sweet Connection,4.4,882,$,Bakery,5569 N Northwest Hwy,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Au Levain Bakery & Cafe,4.5,124,$10–20,Bakery,4301 N Lincoln Ave,Closed - Opens 8 AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Captain Bakery,4.7,150,$1–10,Bakery,1559 W 33rd St,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Vanille Patisserie,4.5,647,$$,Patisserie,2108 N Clark St,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']","['Reserve a table', 'Order online']"
La Central Bakery,4.6,484,$10–20,Bakery,4348 W Armitage Ave,Open - Closes 7:30 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
D'Amato's Bakery,4.7,"1,580",$10–20,Bakery,1124 W Grand Ave,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Publican Quality Bread,4.6,345,$10–20,Bakery,1759 W Grand Ave,Closed - Opens 7 AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Pierre's Bakery Chicago,4.4,215,$$,Bakery,1956 W Chicago Ave,Open - Closes 6 PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Lost Larson (Wicker Park),4.1,247,$10–20,Bakery,2140 W Division St,Closed - Opens 7 AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Isabella’s Bakery,4.7,221,,Pastries,1659 W Foster Ave,Open - Closes 7 PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Molly's Cupcakes,4.6,"1,165",$1–10,Bakery,419 E Illinois St Suite 120,Open - Closes 10PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Good Ambler,4.4,635,$10–20,Bakery,216 N Peoria St,Closes soon - 5PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
The Bakehouse Chicago,4.6,48,$10–20,Bakery,3706 N Southport Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Cadinho Bakery & Café,4.8,265,$10–20,Bakery,3483 S Archer Ave,Closes soon - 5PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Scafuri Bakery,4.4,278,$,Bakery,1337 W Taylor St,Closed - Opens 8AM Thu,"['Dine-in', 'Takeout', 'Delivery']",[]
Shokolad Pastry & Cafe,4.8,671,$10–20,Bakery,2524 W Chicago Ave,Closes soon - 5PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Levinson's Bakery,4.5,244,,Bakery,2856 W Devon Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Mindy’s Bakery,4.5,"1,962",$10–20,Bakery,1623 N Milwaukee Ave,Closed - Opens 7:30AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
La Fournette,4.7,748,$10–20,Bakery,1547 N Wells St,Closed - Opens 7AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Paris Baguette,4.3,200,$10–20,Bakery,2239 S Wentworth Ave,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Umaga Bakehouse,4.6,255,$10–20,Bakery,4703 W Foster Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Klein's Bakery & Cafe (Buena Park),4.4,572,$10–20,Bakery,4155 N Broadway,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Wiklanski's Bakery,4.6,264,$10–20,Bakery,6006 W Belmont Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
defloured: A Gluten Free Bakery,4.9,505,$1–10,Bakery,1477 W Balmoral Ave,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Saint Anna Bakery,4.5,295,$1–10,Bakery,2158 S Archer Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",[]
New Paradise Bakery,4.5,256,$10–20,Bakery,5742 N Milwaukee Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Sweet Rabbit Bakery,4.9,135,$10–20,Bakery,2159 W Belmont Ave,Closed - Opens 7AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Chicago Sugar Daddy Patisserie LLC,4.9,180,$1–10,Bakery,3243 N Broadway,Closed - Opens 12PM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Pticek’s & Son Bakery,4.7,515,$1–10,Bakery,5523 S Narragansett Ave,Closed - Opens 5:15AM Wed,"['Dine-in', 'Takeout', 'Delivery']",[]
Borinken Cakes,4.5,254,$10–20,Bakery,5328 S Archer Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Bake,4.8,240,$1–10,Bakery,2246 W North Ave,Closed - Opens 8AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Alegre Bakery,4.6,215,$1–10,Bakery,3420 W Montrose Ave,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Grecia’s Bakery,4.4,300,$,Bakery,2644 W 51st St,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Skinny Piggy Bakery,4.6,86,$$$,Bakery,,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
La Boulangerie & Co Wilson,4.5,736,$10–20,Bakery,1945 W Wilson Ave,Closes soon - 5:30PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Pan Artesanal Bakery,4.6,434,$10–20,Bakery,3724 W Fullerton Ave,Closed - Opens 8AM Sat,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Molly's Cupcakes,4.5,823,$1–10,Bakery,2536 N Clark St,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Delightful Pastries,4.3,344,$,Bakery,5927 W Lawrence Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
"La Dulce Bakery, Inc.",4.4,284,$1–10,Bakery,5847 W Fullerton Ave,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Chiu Quon Bakery,4.4,908,$1–10,Chinese bakery,2253 S Wentworth Ave,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Artemio's Bakery,4.6,501,$1–10,Bakery,3904 N Sheridan Rd,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Sweet Bean,4.5,607,$10–20,Bakery,1152 S Wabash Ave,Closes soon - 5PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Strugglebeardbakery,4.6,127,$1–10,Bakery,5221 S Harper Ct,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
La Baguette Panaderia,4.1,368,$,Bakery,5712 N Clark St,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Give Me Some Sugah,4.5,260,$10–20,Bakery,2234 E 71st St,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Klein’s Bakery & Cafe (LakeviewEast),4.4,355,$10–20,Bakery,426 W Diversey Pkwy,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Wagner's Bakery,4.5,252,$1–10,Bakery,2148 W Cermak Rd,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Sweet Vegan Bakes | Plant Based Restaurant & Bakery,4.6,591,$$,Bakery,50 E Chicago Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
La Central Bakery,4.3,475,$1–10,Bakery,2422 W 47th St,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Guatelinda Bakery,4.6,252,$1–10,Bakery,3149 W Diversey Ave,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Sugar Bliss,4.2,341,$10–20,Bakery,122 S Wabash Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Guadalajara Bakery,4.4,214,$10–20,Bakery,4014 W Armitage Ave,Closed - Opens 5AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Golden Grain Bakery & Café,4.6,17,,Bakery,3342 B W Lawrence Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Forest View Bakery,4.8,77,$1–10,Bakery,6454 N Milwaukee Ave,Closed - Opens 6:30AM Wed,"['Dine-in', 'Takeout', 'Delivery']",[]
Markellos Baking Company,4.3,475,$10–20,Bakery,3520 W Lawrence Ave,Open - Closes 10PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
JR Dessert Bakery,4.7,63,$1–10,Bakery,2841 W Howard St,Closes soon - 5:30PM - Opens 8AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
La Pâtisserie P,4.7,396,$,Pastries,1050-52 W Argyle St,Closed - Opens 8:30AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Matt Bakes,4.6,35,$10–20,Bakery,"Food Court, 1001 W Chicago Ave",Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
La Baguette Bakery,4.2,451,$10–20,Bakery,3103 W 26th St,Open - Closes 10PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Feyrous Pastries & Groceries,4.7,141,$1–10,Bakery,4510 N Kedzie Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Rudy’s Bakery,4.7,127,$1–10,Bakery,2038 W Roscoe St,Closes soon - 5PM - Opens 8AM Thu,"['Dine-in', 'Takeout', 'Delivery']",[]
Floriole Cafe & Bakery,4.6,753,$$,Pastries,1220 W Webster Ave,Closed - Opens 8AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
European Classic Bakery,4.8,106,,Bakery,5930 N Elston Ave,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
La Central Bakery,4.2,143,,Bakery,2702 W Cermak Rd,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Kristoffer's Cafe & Bakery,4.7,522,$1–10,Bakery,1733 S Halsted St,Closes soon - 5PM - Opens 7:30AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Windy City Baker,4.9,35,,Bakery,5482 S Ridgewood Ct,Open - Closes 6PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Iced,4.8,66,$50–100,Bakery,4131 N Rockwell St,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Ann's Bakery & Deli,4.4,"1,131",$$,Bakery,2158 W Chicago Ave,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",[]
La Central Bakery,4.3,214,$10–20,Bakery,3306 W 55th St,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
"Goddess and the Baker, Wacker & LaSalle",4.2,"1,318",$10–20,Bakery,225 N LaSalle St,Closed - Opens 7AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
San Juan Bakery,4.4,439,$,Bakery,3335 W North Ave,Closes soon - 5PM - Opens 6:30AM Wed,"['Dine-in', 'Takeout', 'Delivery']",[]
Zymi Bakery,4.7,148,$10–20,Bakery,5806 N Milwaukee Ave,Closed - Opens 8AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Rosy's Bakery,4.3,142,,Bakery,3237 W 26th St #4034,Open - Closes 9PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Artemio's Bakery,4.3,330,$1–10,Bakery,1443 N Milwaukee Ave,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",[]
Hendrickx Belgian Bread Crafter,4.6,539,$10–20,Bakery,100 E Walton St,Closed - Opens 8AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Chicago Illinois Erotic Cakes Bakery,4.7,122,,Cake shop,,Open 24 hours,"['Dine-in', 'Takeout', 'Delivery']",[]
Greater Baking,4.9,140,$10–20,Bakery,2300 E 71st St,Closed - Opens 11AM Thu,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Vanille Patisserie- French Market,4.2,122,$,Bakery,131 N Clinton St,Open - Closes 7PM,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
Letizia's Natural Bakery,4.5,397,$10–20,Bakery,2144 W Division St,Closed - Opens 7AM Wed,"['Dine-in', 'Takeout', 'Delivery']",['Order online']
La Florencia Bakery,4.5,120,$1–10,Bakery,10429 S Ewing Ave #1/2,Open - Closes 8PM,"['Dine-in', 'Takeout', 'Delivery']",[]
